track,album_id,duration,song
6,1013,230.0,Voittomme
7,1013,251.0,Kirous viimeinen
8,1013,281.0,Kuolonkylväjä
1,1014,384.0,Unleashed Axe-Age
2,1014,374.0,Scars in the Landscape of God
3,1014,364.0,Reborn Through the Gates of Three Moons
4,1014,277.0,Dornen
5,1014,236.0,As Astral Images Darken Reality
6,1014,346.0,The Dark Kiss
7,1014,275.0,I Face the Eternal Winter
8,1014,322.0,Revealed Secrets of the Whispering Moon
9,1014,363.0,A Frozen Soul in a Wintershadow
1,1015,116.0,At the Fathomless Depths
2,1015,400.0,Night's Blood
3,1015,448.0,Unhallowed
4,1015,351.0,Where Dead Angels Lie
5,1015,290.0,Retribution - Storm of the Light's Bane
6,1015,486.0,Thorns of Crimson Death
7,1015,416.0,Soulreaper
8,1015,86.0,No Dreams Breed in Breathless Sleep
1,1016,249.0,Down the Scorched Paradise
2,1016,332.0,Lord of All Graves
3,1016,280.0,"Breaking the Sceptres, Crushing the Wands"
4,1016,329.0,Nod
1,1017,490.0,Black Horizons
2,1017,424.0,The Somberlain
3,1017,47.0,Crimson Towers
4,1017,398.0,A Land Forlorn
5,1017,283.0,Heaven's Damnation
6,1017,225.0,Frozen
7,1017,64.0,Into Infinite Obscurity
8,1017,259.0,In the Cold Winds of Nowhere
9,1017,190.0,The Grief Prophecy / Shadows Over a Lost Kingdom
10,1017,273.0,Mistress of the Bleeding Sorrow
11,1017,43.0,Feathers Fell
1,1018,186.0,Інтро
2,1018,595.0,Голос сталі
3,1018,648.0,Валькирия
4,1018,504.0,Україна
5,1018,708.0,Моєї мрії острови
6,1018,547.0,Шляхом сонця
7,1018,291.0,Небо сумних ночей
8,1018,708.0,Біла вежа
1,1019,153.0,Зимні сни / Freezing Dreams
2,1019,280.0,Лунарна поезія / Lunar Poetry
3,1019,441.0,Перунове срібло небес / Perun's Celestial Silver
4,1019,279.0,Карпатські таємниці / Carpathian Mysteries
5,1019,289.0,…І зима постає / …And Winter Becomes
6,1019,644.0,Вампірів князь прийшов / Return of the Vampire Lord
7,1019,311.0,Прадавній рід / Ancient Nation
8,1019,268.0,Акт віри (Ода інакомисленню) / Autodafe (Ode to Nonconformity)
9,1019,232.0,Пращурів сни / Barbarian Dreams
1,1020,173.0,Black Moon Rising
2,1020,203.0,Spawned by Evil
3,1020,220.0,Bloodthirst
4,1020,84.0,Venaesectio
5,1020,237.0,Darkside
6,1020,207.0,The Call
7,1020,82.0,Descension
8,1020,163.0,Nailing the Holy One
9,1020,254.0,Nifelhel
10,1020,375.0,Christian Slaughter
1,1021,288.0,Black Moon Overture
2,1021,424.0,Kuyaviya
3,1021,547.0,Goat Horns
4,1021,489.0,Unholy Orathania
5,1021,708.0,Veles Scrolls
6,1021,430.0,Kolyada
7,1021,232.0,Eternal Circle
